"asv_id","count","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV0222",430,97.143,"Metazoa","Arthropoda","Insecta","Coleoptera","Ptiliidae",NA,"Ptiliidae sp. BOLD-2016"
"ASV0171",567,96.1556666666667,"Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidae","Spherillo",NA
"ASV0068",1464,100,"Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Rubrocuneocoris","Rubrocuneocoris calvertae"
"ASV0045",2199,88.9462,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV0097",1032,99.732,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,"Entomobryidae sp. sc_04935"
"ASV0029",3082,99.4283333333333,"Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Nurudea",NA
"ASV0006",11830,99.9094444444444,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,NA
"ASV0225",416,99.6544444444444,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,NA
"ASV0180",535,99.3992222222222,"Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae",NA,NA
"ASV0104",977,92.157,"Metazoa","Arthropoda","Arachnida","Sarcoptiformes",NA,NA,NA
"ASV0049",2078,91.667,"Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"ASV0020",3937,100,"Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis mameti"
"ASV0137",727,88.667,"Metazoa","Arthropoda",NA,NA,NA,NA,NA
"ASV0001",43976,94.1222857142857,"Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"ASV0005",13917,100,"Metazoa","Arthropoda","Insecta","Psocoptera","Amphientomidae",NA,"Amphientomidae sp."
"ASV0210",463,99.755,"Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Hypothenemus","Hypothenemus sp."
"ASV0370",240,89.655,"Metazoa","Arthropoda","Insecta",NA,NA,NA,NA
