"Sample","Num_ASVs"
"A1-1-gauze-S188",0
"A1-1-roller-S191",547
"A1-1-scrape-S194",678
"A1-2-gauze-S189",533
"A1-2-roller-S192",437
"A1-2-scrape-S195",479
"A1-3-gauze-S190",330
"A1-3-roller-S193",439
"A1-3-scrape-S196",205
"A1-H2O-S197",5
"A2-1-gauze-S198",0
"A2-1-roller-clean-S234",418
"A2-1-roller-S201",500
"A2-1-scrape-S204",517
"A2-2-gauze-S199",594
"A2-2-roller-S202",243
"A2-2-scrape-S205",656
"A2-3-gauze-S200",274
"A2-3-roller-S203",349
"A2-3-scrape-S206",304
"A2a-H2O-S207",0
"A2b-H2O-clean-S236",0
"A2b-H2O-S208",7
"A3-1-gauze-clean-S235",393
"A3-1-gauze-S209",392
"A3-1-roller-S212",231
"A3-1-scrape-S215",545
"A3-2-gauze-S210",556
"A3-2-roller-S213",839
"A3-2-scrape-S216",415
"A3-3-gauze-S211",352
"A3-3-roller-S214",430
"A3-3-scrape-S217",205
"A3-H2O-S218",1
"A3-NCF-S219",6
"A4-1-gauze-S221",3
"A4-1-roller-S224",0
"A4-1-scrape-S227",938
"A4-2-gauze-S222",465
"A4-2-roller-S225",1112
"A4-2-scrape-S228",409
"A4-3-gauze-S223",320
"A4-3-roller-S226",503
"A4-3-scrape-S229",209
"A4-H2O-S230",445
"filt-blank-S231",8
"LB-S232",5
"neg-control-S220",12
"P1-NTC1-S237",1
"P1-NTC2-S238",1
"P1-NTC3-S239",0
"PB-roller-S233",9
