file,site,replicate,vector,format,type,sample,direction,num_seqs,sum_len,min_len,avg_len,max_len
LB_S232_L001_R1_001.fastq,LB,1,blank,FASTQ,DNA,S232,R1,90,"26,601",168,295.6,301
LB_S232_L001_R2_001.fastq,LB,1,blank,FASTQ,DNA,S232,R2,90,"26,570",168,295.2,301
PB-roller_S233_L001_R1_001.fastq,PB,1,blank,FASTQ,DNA,S233,R1,182,"53,471",118,293.8,301
PB-roller_S233_L001_R2_001.fastq,PB,1,blank,FASTQ,DNA,S233,R2,182,"53,488",118,293.9,301
filt-blank_S231_L001_R1_001.fastq,filt,1,blank,FASTQ,DNA,S231,R1,279,"80,672",49,289.1,301
filt-blank_S231_L001_R2_001.fastq,filt,1,blank,FASTQ,DNA,S231,R2,279,"80,675",49,289.2,301
neg-control_S220_L001_R1_001.fastq,neg,1,control,FASTQ,DNA,S220,R1,539,"158,607",88,294.3,301
neg-control_S220_L001_R2_001.fastq,neg,1,control,FASTQ,DNA,S220,R2,539,"158,846",88,294.7,301
A1-1-gauze_S188_L001_R1_001.fastq,A1,1,gauze,FASTQ,DNA,S188,R1,7,"1,953",169,279,301
A1-1-gauze_S188_L001_R2_001.fastq,A1,1,gauze,FASTQ,DNA,S188,R2,7,"1,969",169,281.3,301
A1-2-gauze_S189_L001_R1_001.fastq,A1,2,gauze,FASTQ,DNA,S189,R1,"38,733","11,625,383",77,300.1,301
A1-2-gauze_S189_L001_R2_001.fastq,A1,2,gauze,FASTQ,DNA,S189,R2,"38,733","11,624,032",77,300.1,301
A1-3-gauze_S190_L001_R1_001.fastq,A1,3,gauze,FASTQ,DNA,S190,R1,"43,466","13,047,136",67,300.2,301
A1-3-gauze_S190_L001_R2_001.fastq,A1,3,gauze,FASTQ,DNA,S190,R2,"43,466","13,046,489",67,300.2,301
A2-1-gauze_S198_L001_R1_001.fastq,A2,1,gauze,FASTQ,DNA,S198,R1,31,"8,798",164,283.8,301
A2-1-gauze_S198_L001_R2_001.fastq,A2,1,gauze,FASTQ,DNA,S198,R2,31,"9,172",173,295.9,301
A2-2-gauze_S199_L001_R1_001.fastq,A2,2,gauze,FASTQ,DNA,S199,R1,"29,290","8,777,997",44,299.7,301
A2-2-gauze_S199_L001_R2_001.fastq,A2,2,gauze,FASTQ,DNA,S199,R2,"29,290","8,772,337",44,299.5,301
