"Sample","Total_Reads"
"A1-1-gauze-S188",0
"A1-1-roller-S191",12704
"A1-1-scrape-S194",21386
"A1-2-gauze-S189",22873
"A1-2-roller-S192",6751
"A1-2-scrape-S195",15221
"A1-3-gauze-S190",35430
"A1-3-roller-S193",35549
"A1-3-scrape-S196",16759
"A1-H2O-S197",22
"A2-1-gauze-S198",0
"A2-1-roller-clean-S234",26699
"A2-1-roller-S201",29750
"A2-1-scrape-S204",15081
"A2-2-gauze-S199",16043
"A2-2-roller-S202",4407
"A2-2-scrape-S205",28039
"A2-3-gauze-S200",9481
"A2-3-roller-S203",24291
"A2-3-scrape-S206",16028
"A2a-H2O-S207",0
"A2b-H2O-clean-S236",0
"A2b-H2O-S208",24
"A3-1-gauze-clean-S235",11540
"A3-1-gauze-S209",7767
"A3-1-roller-S212",7876
"A3-1-scrape-S215",20414
"A3-2-gauze-S210",10772
"A3-2-roller-S213",20277
"A3-2-scrape-S216",17650
"A3-3-gauze-S211",25896
"A3-3-roller-S214",31351
"A3-3-scrape-S217",16142
"A3-H2O-S218",7
"A3-NCF-S219",411
"A4-1-gauze-S221",39
"A4-1-roller-S224",0
"A4-1-scrape-S227",20400
"A4-2-gauze-S222",39496
"A4-2-roller-S225",36821
"A4-2-scrape-S228",8687
"A4-3-gauze-S223",31159
"A4-3-roller-S226",32847
"A4-3-scrape-S229",24981
"A4-H2O-S230",9442
"filt-blank-S231",121
"LB-S232",55
"neg-control-S220",241
"P1-NTC1-S237",5
"P1-NTC2-S238",2
"P1-NTC3-S239",0
"PB-roller-S233",96
