"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"A1-1-gauze-S188",7,1,1,1,0,0
"A1-1-roller-S191",22372,19591,18264,18087,12704,12644
"A1-1-scrape-S194",41070,36210,35014,34977,21386,21202
"A1-2-gauze-S189",38733,35517,34737,34731,22873,22830
"A1-2-roller-S192",13400,12216,11267,11346,6751,6710
"A1-2-scrape-S195",33496,27616,26369,26496,15221,15131
"A1-3-gauze-S190",43466,40969,40401,40425,35430,35413
"A1-3-roller-S193",44011,41368,40526,40458,35549,35413
"A1-3-scrape-S196",23189,20075,19547,19703,16759,16730
"A1-H2O-S197",100,54,41,32,22,22
"A2-1-gauze-S198",31,6,1,1,0,0
"A2-1-roller-clean-S234",36437,33698,33070,33047,26699,26688
"A2-1-roller-S201",39913,37422,36788,36692,29750,29725
"A2-1-scrape-S204",31760,27229,25758,25854,15081,15048
"A2-2-gauze-S199",29290,25638,24468,23959,16043,16036
"A2-2-roller-S202",6365,5982,5279,5233,4407,4407
"A2-2-scrape-S205",46947,42585,41415,41258,28039,28031
"A2-3-gauze-S200",14328,12847,12561,12505,9481,9441
"A2-3-roller-S203",29534,27505,27039,27106,24291,24253
"A2-3-scrape-S206",22638,20066,19777,19722,16028,15944
"A2a-H2O-S207",40,27,2,1,0,0
"A2b-H2O-clean-S236",78,51,25,32,0,0
"A2b-H2O-S208",133,99,75,75,24,24
"A3-1-gauze-clean-S235",21168,18624,17872,17854,11540,11533
"A3-1-gauze-S209",18430,16518,15725,15605,7767,7758
"A3-1-roller-S212",11082,9244,8438,8747,7876,7876
"A3-1-scrape-S215",36765,32091,30964,30667,20414,20377
"A3-2-gauze-S210",24591,22234,20853,20727,10772,10751
"A3-2-roller-S213",33690,30907,29525,29483,20277,20253
"A3-2-scrape-S216",31096,27244,25606,25623,17650,17623
"A3-3-gauze-S211",31605,29391,28886,28814,25896,25866
"A3-3-roller-S214",37950,35509,34946,34912,31351,31345
"A3-3-scrape-S217",22160,18748,18531,18550,16142,15986
"A3-H2O-S218",56,41,10,12,7,7
"A3-NCF-S219",463,425,421,421,411,411
"A4-1-gauze-S221",102,77,39,41,39,39
"A4-1-roller-S224",40,8,1,1,0,0
"A4-1-scrape-S227",42543,37687,35794,35803,20400,20359
"A4-2-gauze-S222",49713,46681,44966,45028,39496,39485
"A4-2-roller-S225",66416,61007,59471,59463,36821,36744
"A4-2-scrape-S228",18841,14868,13257,13597,8687,8683
"A4-3-gauze-S223",36798,34155,33507,33403,31159,31046
"A4-3-roller-S226",42738,40084,39286,39098,32847,32665
"A4-3-scrape-S229",31071,28752,28373,28338,24981,24927
"A4-H2O-S230",15408,14137,13443,13402,9442,9433
"filt-blank-S231",279,222,200,190,121,121
"LB-S232",90,73,66,70,55,55
"neg-control-S220",539,405,366,372,241,241
"P1-NTC1-S237",58,18,5,7,5,5
"P1-NTC2-S238",190,115,76,78,2,2
"P1-NTC3-S239",5,1,1,1,0,0
"PB-roller-S233",182,152,127,130,96,96
