lowest_taxon,phylum,class,order,family,genus,species,aihualama_1,aihualama_2,aihualama_3,aihualama_4,total_reads,percent_total_reads
Acalitus vaccinii,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Acalitus,Acalitus vaccinii,0,103,3,32,138,0.137%
Acaridae,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,NA,NA,0,49,0,0,49,0.049%
Acleris,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,NA,8,0,0,0,8,0.008%
Aeolocoelotes,Arthropoda,Arachnida,Araneae,Agelenidae,Aeolocoelotes,NA,0,0,2,5,7,0.007%
Agaonidae,Arthropoda,Insecta,Hymenoptera,Agaonidae,NA,NA,3,0,0,0,3,0.003%
Agromyzidae sp. BBDCN049-10,Arthropoda,Insecta,Diptera,Agromyzidae,NA,Agromyzidae sp. BBDCN049-10,0,0,18,0,18,0.018%
Allobracon sp.,Arthropoda,Insecta,Hymenoptera,Braconidae,Allobracon,Allobracon sp.,12,0,9,4,25,0.025%
Amphientomidae sp.,Arthropoda,Insecta,Psocoptera,Amphientomidae,NA,Amphientomidae sp.,0,1423,2205,10289,13917,13.809%
Aphelopus atratus,Arthropoda,Insecta,Hymenoptera,Dryinidae,Aphelopus,Aphelopus atratus,0,0,0,2,2,0.002%
Apis mellifera,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,0,0,0,59,59,0.059%
Apochthonius sp.,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Apochthonius,Apochthonius sp.,0,0,0,58,58,0.058%
Arachnida,Arthropoda,Arachnida,NA,NA,NA,NA,79,116,100,99,394,0.391%
Arachnis,Arthropoda,Insecta,Lepidoptera,Erebidae,Arachnis,NA,0,0,0,17,17,0.017%
Araneae,Arthropoda,Arachnida,Araneae,NA,NA,NA,166,10,2,2,180,0.179%
Argyrotaenia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,NA,0,0,5,0,5,0.005%
Armadillidae,Arthropoda,Malacostraca,Isopoda,Armadillidae,NA,NA,0,61,0,0,61,0.061%
Arthropoda,Arthropoda,NA,NA,NA,NA,NA,1314,2109,3342,1411,8176,8.113%
Asellidae,Arthropoda,Malacostraca,Isopoda,Asellidae,NA,NA,0,0,0,3,3,0.003%
Astacus colchicus,Arthropoda,Malacostraca,Decapoda,Astacidae,Astacus,Astacus colchicus,0,0,15,0,15,0.015%
Austrarchaea,Arthropoda,Arachnida,Araneae,Archaeidae,Austrarchaea,NA,0,4,0,0,4,0.004%
Baetis,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,NA,0,0,0,4,4,0.004%
Baetis tricaudatus,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,Baetis tricaudatus,0,54,0,0,54,0.054%
Balanidae,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NA,NA,0,0,0,17,17,0.017%
Bemisia euphorbiae,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Bemisia,Bemisia euphorbiae,0,0,0,13,13,0.013%
Blattodea,Arthropoda,Insecta,Blattodea,NA,NA,NA,0,0,3,0,3,0.003%
Brachyrhynchus membranaceus,Arthropoda,Insecta,Hemiptera,Aradidae,Brachyrhynchus,Brachyrhynchus membranaceus,0,0,7,28,35,0.035%
Brachytarsina sp. E GC-2023a,Arthropoda,Insecta,Diptera,Streblidae,Brachytarsina,Brachytarsina sp. E GC-2023a,38,8,0,0,46,0.046%
Braconidae,Arthropoda,Insecta,Hymenoptera,Braconidae,NA,NA,0,0,0,18,18,0.018%
Branchiopoda,Arthropoda,Branchiopoda,NA,NA,NA,NA,0,0,0,8,8,0.008%
Brevipalpus papayensis,Arthropoda,Arachnida,Trombidiformes,Tenuipalpidae,Brevipalpus,Brevipalpus papayensis,0,357,0,0,357,0.354%
Brevulacus reticulatus,Arthropoda,Arachnida,Trombidiformes,Diptilomiopidae,Brevulacus,Brevulacus reticulatus,0,0,5,0,5,0.005%
Burmoniscus dasystylus,Arthropoda,Malacostraca,Isopoda,Philosciidae,Burmoniscus,Burmoniscus dasystylus,195,9,0,0,204,0.202%
Bystus,Arthropoda,Insecta,Coleoptera,Endomychidae,Bystus,NA,0,26,0,4,30,0.030%
Cambalopsidae,Arthropoda,Diplopoda,Spirostreptida,Cambalopsidae,NA,NA,0,0,11,0,11,0.011%
Carabodidae,Arthropoda,Arachnida,Sarcoptiformes,Carabodidae,NA,NA,14,0,0,0,14,0.014%
Carabodidae sp. BIOUG24219-G04,Arthropoda,Arachnida,Sarcoptiformes,Carabodidae,NA,Carabodidae sp. BIOUG24219-G04,0,0,0,2,2,0.002%
Cecidomyiidae,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,24,10,0,236,270,0.268%
Cecidomyiidae sp. SSPAC461-13,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,Cecidomyiidae sp. SSPAC461-13,0,0,4,4,8,0.008%
Ceratopogonidae,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,0,0,0,5,5,0.005%
Ceratopogonidae sp.,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,Ceratopogonidae sp.,0,21,0,0,21,0.021%
Ceratopogonidae sp. sc_07781,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,Ceratopogonidae sp. sc_07781,0,47,0,0,47,0.047%
Chironomidae,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,0,0,0,9,9,0.009%
Chrysobothris sp. CA14_31.01,Arthropoda,Insecta,Coleoptera,Buprestidae,Chrysobothris,Chrysobothris sp. CA14_31.01,8,0,0,0,8,0.008%
Coenobitidae,Arthropoda,Malacostraca,Decapoda,Coenobitidae,NA,NA,66,11,4,27,108,0.107%
Coleoptera,Arthropoda,Insecta,Coleoptera,NA,NA,NA,269,5978,2107,35831,44185,43.843%
Coleosoma floridanum,Arthropoda,Arachnida,Araneae,Theridiidae,Coleosoma,Coleosoma floridanum,0,0,0,3,3,0.003%
Collembola,Arthropoda,Collembola,NA,NA,NA,NA,0,5,123,49,177,0.176%
Corylophidae,Arthropoda,Insecta,Coleoptera,Corylophidae,NA,NA,0,0,7,0,7,0.007%
Corynoneura sp. BOLD-2016,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura sp. BOLD-2016,0,21,0,0,21,0.021%
Crabronidae,Arthropoda,Insecta,Hymenoptera,Crabronidae,NA,NA,11,0,27,0,38,0.038%
Cryptopidae,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,NA,NA,0,0,0,8,8,0.008%
Cumacea,Arthropoda,Malacostraca,Cumacea,NA,NA,NA,6,49,0,13,68,0.067%
Curculionidae,Arthropoda,Insecta,Coleoptera,Curculionidae,NA,NA,0,0,0,4,4,0.004%
Cyclopoida,Arthropoda,Hexanauplia,Cyclopoida,NA,NA,NA,0,24,0,0,24,0.024%
Cyclotrachelus,Arthropoda,Insecta,Coleoptera,Carabidae,Cyclotrachelus,NA,0,0,4,0,4,0.004%
Decapoda,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,48,0,29,64,141,0.140%
Depressariidae,Arthropoda,Insecta,Lepidoptera,Depressariidae,NA,NA,0,0,0,17,17,0.017%
Dermacentor albipictus,Arthropoda,Arachnida,Ixodida,Ixodidae,Dermacentor,Dermacentor albipictus,0,0,13,2,15,0.015%
Diapriidae,Arthropoda,Insecta,Hymenoptera,Diapriidae,NA,NA,6,0,0,0,6,0.006%
Diapriidae sp. BOLD-2016,Arthropoda,Insecta,Hymenoptera,Diapriidae,NA,Diapriidae sp. BOLD-2016,0,0,39,0,39,0.039%
Dichaetophora cyanea,Arthropoda,Insecta,Diptera,Drosophilidae,Dichaetophora,Dichaetophora cyanea,8,0,0,0,8,0.008%
Diplopoda,Arthropoda,Diplopoda,NA,NA,NA,NA,0,30,0,0,30,0.030%
Diptera,Arthropoda,Insecta,Diptera,NA,NA,NA,36,11,2026,81,2154,2.137%
Doryctinae sp. BOLD-2016,Arthropoda,Insecta,Hymenoptera,Braconidae,NA,Doryctinae sp. BOLD-2016,0,10,0,0,10,0.010%
Drosophilidae,Arthropoda,Insecta,Diptera,Drosophilidae,NA,NA,0,15,9,0,24,0.024%
Elachistidae,Arthropoda,Insecta,Lepidoptera,Elachistidae,NA,NA,2,0,0,0,2,0.002%
Entomobryidae,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,NA,NA,6643,3084,1417,1280,12424,12.328%
Entomobryidae sp. 3 PMP-2017,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,NA,Entomobryidae sp. 3 PMP-2017,5,0,0,0,5,0.005%
Entomobryidae sp. sc_04935,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,NA,Entomobryidae sp. sc_04935,339,271,370,103,1083,1.075%
Euwallacea,Arthropoda,Insecta,Coleoptera,Curculionidae,Euwallacea,NA,0,0,8,0,8,0.008%
Formicidae,Arthropoda,Insecta,Hymenoptera,Formicidae,NA,NA,9,0,0,8,17,0.017%
Frankliniella invasor,Arthropoda,Insecta,Thysanoptera,Thripidae,Frankliniella,Frankliniella invasor,0,0,0,16,16,0.016%
Gammaridae,Arthropoda,Malacostraca,Amphipoda,Gammaridae,NA,NA,0,0,0,27,27,0.027%
Gedea cf. tibialis UBC SEM M.Bodner MRB090,Arthropoda,Arachnida,Araneae,Salticidae,Gedea,Gedea cf. tibialis UBC SEM M.Bodner MRB090,0,0,21,0,21,0.021%
Geogarypus longidigitatus,Arthropoda,Arachnida,Pseudoscorpiones,Geogarypidae,Geogarypus,Geogarypus longidigitatus,0,0,0,10,10,0.010%
