"asv_name","percent_match","kingdom","phylum","class","order","family","genus","species"
"ASV201_count_476",97.549,NA,NA,"Eustigmatophyceae","Eustigmatales","Chlorobotryaceae","Vischeria",NA
"ASV53_count_1985",88.823,"Metazoa","Rotifera",NA,NA,NA,NA,NA
"ASV134_count_760",89.1955,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV7_count_9469",92.0455,"Metazoa","Rotifera","Eurotatoria","Adinetida",NA,NA,NA
"ASV182_count_528",89.2456,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV10_count_7098",90.8085,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV51_count_2002",88.9656,"Metazoa","Rotifera",NA,NA,NA,NA,NA
"ASV146_count_669",89.862,"Metazoa","Rotifera","Eurotatoria",NA,NA,NA,NA
"ASV47_count_2167",89.303,NA,NA,NA,NA,NA,NA,NA
"ASV222_count_430",97.143,"Metazoa","Arthropoda","Insecta","Coleoptera","Ptiliidae",NA,"Ptiliidae sp. BOLD-2016"
"ASV88_count_1131",85.8843333333333,"Metazoa",NA,NA,NA,NA,NA,NA
"ASV67_count_1464",100,NA,"Oomycota","Peronosporomycetes","Peronosporales","Peronosporaceae","Phytophthora",NA
"ASV102_count_1018",85.7256666666667,"Fungi",NA,NA,NA,NA,NA,NA
"ASV55_count_1833",87.224,"Fungi","Ascomycota",NA,NA,NA,NA,NA
"ASV91_count_1113",85.25,"Fungi",NA,NA,NA,NA,NA,NA
"ASV85_count_1187",85.422,NA,NA,NA,NA,NA,NA,NA
"ASV36_count_2585",88.764,"Metazoa","Chordata",NA,NA,NA,NA,NA
"ASV46_count_2176",88.764,"Metazoa","Chordata",NA,NA,NA,NA,NA
"ASV171_count_567",96.1556666666667,"Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidae","Spherillo",NA
"ASV68_count_1464",100,"Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Rubrocuneocoris","Rubrocuneocoris calvertae"
"ASV213_count_454",90.476,"Bacillati","Cyanobacteriota","Cyanophyceae",NA,NA,NA,NA
