Query_ID,Query_Length,Subject_ID,%_Identity,Alignment_Length,Query_Start,Query_End,Subject_Start,Subject_End,E-value,Bit_Score,Subject_Taxonomy_ID
ASV1_count_43976,408,gi|1569135070|gb|MK084265.1|,94.363,408,1,408,246,653,4.89e-175,627,2514552
ASV1_count_43976,408,gi|1569128570|gb|MK081004.1|,94.118,408,1,408,216,623,2.28e-173,621,2514071
ASV1_count_43976,408,gi|1569133036|gb|MK083246.1|,94.118,408,1,408,246,653,2.28e-173,621,2514402;2514531
ASV1_count_43976,408,gi|1569134974|gb|MK084217.1|,94.118,408,1,408,220,627,2.28e-173,621,2514544
ASV1_count_43976,408,gi|1569130437|gb|MK081942.1|,94.118,408,1,408,246,653,2.28e-173,621,2514207;2514367;2514444;2514535
ASV1_count_43976,408,gi|1569134142|gb|MK083800.1|,94.026,385,1,385,211,595,2.99e-162,584,2514486
ASV1_count_43976,408,gi|1569132859|gb|MK083157.1|,93.995,383,1,383,240,622,3.86e-161,580,2514388
ASV2_count_35999,408,gi|1811126237|gb|MN526248.1|,93.671,79,295,373,555,633,3.64e-22,119,2651742
ASV2_count_35999,408,gi|1597696342|gb|MK291065.1|,86.792,106,298,403,543,648,3.64e-22,119,2496466
ASV3_count_18436,411,gi|134141712|gb|EF173220.1|,90.998,411,1,411,158,568,2.36e-153,555,104782
ASV3_count_18436,411,gi|1509790191|gb|MH251756.1|,90.998,411,1,411,187,597,2.36e-153,555,104788
ASV3_count_18436,411,gi|157365352|gb|EF650536.1|,90.754,411,1,411,215,625,1.10e-151,549,104788
ASV3_count_18436,411,gi|157365462|gb|EF650591.1|,90.511,411,1,411,242,652,5.11e-150,544,104788
ASV3_count_18436,411,gi|1509790193|gb|MH251757.1|,90.024,411,1,411,165,575,6.61e-149,540,104788
ASV3_count_18436,411,gi|1509790195|gb|MH251758.1|,90.024,411,1,411,146,556,6.61e-149,540,104788
ASV3_count_18436,411,gi|134141630|gb|EF173179.1|,90.024,411,1,411,242,652,6.61e-149,540,433694
